molecule_chembl_id,canonical_smiles,pIC50,fingerprint
CHEMBL305153,CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21,7.531652669587842,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C2E0>
CHEMBL368457,CC(C)(C)NCC(O)CON=C1c2ccccc2-c2ccccc21,7.421360790031928,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C350>
CHEMBL1788270,CC(C)(C)NC[C@@H](O)CON=C1c2ccccc2-c2ccccc21,7.363512103646634,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C3C0>
CHEMBL266195,C=CCc1ccccc1OCC(O)CNC(C)C,8.311580177997289,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C430>
CHEMBL423,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,7.430626090384954,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C4A0>
CHEMBL26917,Cc1ccc(OCC(O)CNC(C)C)c2c1CCC2,6.730487055782084,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C040>
CHEMBL433252,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1cccc(CCCC2CCCC2)n1,5.522878745280337,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C510>
CHEMBL54750,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1cccc(CCCC2CCCC2)c1,5.3979400086720375,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C580>
CHEMBL52407,CCCCCCCCc1nc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)no1,6.236572006437063,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C5F0>
CHEMBL56449,CCCCCCc1ccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)nc1,5.7447274948966935,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C660>
CHEMBL54749,CCCCCCCCc1cnc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)o1,5.376750709602099,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C6D0>
CHEMBL301202,CN(C)C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,5.045757490560675,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C740>
CHEMBL292407,CCCCCCCCN(C)C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,6.013228265733755,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C7B0>
CHEMBL53679,CCCCCCCCc1csc(Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2)n1,6.187086643357144,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C820>
CHEMBL299719,CCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,6.045757490560675,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C890>
CHEMBL55852,CCCCCCc1ccnc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,5.853871964321762,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C900>
CHEMBL56308,CCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)c1,6.154901959985743,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C970>
CHEMBL57486,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5.096910013008056,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99C9E0>
CHEMBL55541,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1nc(CCCC2CCCC2)cs1,5.3979400086720375,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CA50>
CHEMBL54821,CCCCCCCCc1csc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,5.585026652029182,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CAC0>
CHEMBL53359,CCCCCCCCc1ccnc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,6.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CB30>
CHEMBL291467,CCCCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,6.657577319177793,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CBA0>
CHEMBL295502,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1noc(CCCC2CCCC2)n1,6.481486060122113,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CC10>
CHEMBL298594,CCCCCCc1csc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,5.853871964321762,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CC80>
CHEMBL56767,CCCCCCCCc1csc(N(C)c2ccc(S(=O)(=O)Nc3ccccc3)cc2)n1,5.823908740944319,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CCF0>
CHEMBL56768,CCCCCCc1nc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)no1,6.221848749616356,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CD60>
CHEMBL433454,Cc1csc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,5.3979400086720375,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CDD0>
CHEMBL296380,CCCCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)c1,5.6020599913279625,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CE40>
CHEMBL294008,CCCCCCCCC(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,5.7447274948966935,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CEB0>
