action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,31964,[],CHEMBL650687,Compound was tested for inhibition of [3H]dihydroalprenolol radioligand binding to Beta-1 adrenergic receptor in dog heart.,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21,,,CHEMBL1122110,J Med Chem,1982.0,"{'bei': '23.22', 'le': '0.43', 'lle': '4.34', 'sei': '13.99'}",,CHEMBL305153,,CHEMBL305153,7.53,0,http://www.openphacts.org/units/Nanomolar,342567,=,1,1,=,,IC50,nM,,29.4,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,29.4
,,34429,[],CHEMBL650687,Compound was tested for inhibition of [3H]dihydroalprenolol radioligand binding to Beta-1 adrenergic receptor in dog heart.,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)NCC(O)CON=C1c2ccccc2-c2ccccc21,,,CHEMBL1122110,J Med Chem,1982.0,"{'bei': '22.88', 'le': '0.42', 'lle': '4.23', 'sei': '13.78'}",,CHEMBL368457,,CHEMBL368457,7.42,0,http://www.openphacts.org/units/Nanomolar,342564,=,1,1,=,,IC50,nM,,37.9,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,37.9
,,47679,[],CHEMBL650687,Compound was tested for inhibition of [3H]dihydroalprenolol radioligand binding to Beta-1 adrenergic receptor in dog heart.,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)NC[C@@H](O)CON=C1c2ccccc2-c2ccccc21,,,CHEMBL1122110,J Med Chem,1982.0,"{'bei': '22.70', 'le': '0.42', 'lle': '4.17', 'sei': '13.67'}",,CHEMBL1788270,,CHEMBL1788270,7.36,0,http://www.openphacts.org/units/Nanomolar,342561,=,1,1,=,,IC50,nM,,43.3,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,43.3
,,48889,[],CHEMBL650687,Compound was tested for inhibition of [3H]dihydroalprenolol radioligand binding to Beta-1 adrenergic receptor in dog heart.,B,,,BAO_0000190,BAO_0000357,single protein format,C=CCc1ccccc1OCC(O)CNC(C)C,,,CHEMBL1122110,J Med Chem,1982.0,"{'bei': '33.33', 'le': '0.63', 'lle': '6.16', 'sei': '20.03'}",,CHEMBL266195,ALPRENOLOL,CHEMBL266195,8.31,0,http://www.openphacts.org/units/Nanomolar,342563,=,1,1,=,,IC50,nM,,4.88,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,4.88
,,61754,[],CHEMBL650686,Compound was tested for inhibition of [3H]dihydroalprenolol radioligand binding to Beta-1 adrenergic receptor in dog heart,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,,,CHEMBL1122110,J Med Chem,1982.0,"{'bei': '24.17', 'le': '0.46', 'lle': '5.04', 'sei': '14.65'}",,CHEMBL423,BETAXOLOL,CHEMBL423,7.43,0,http://www.openphacts.org/units/Nanomolar,342558,=,1,1,=,,IC50,nM,,37.1,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,37.1
,,70880,[],CHEMBL650687,Compound was tested for inhibition of [3H]dihydroalprenolol radioligand binding to Beta-1 adrenergic receptor in dog heart.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(OCC(O)CNC(C)C)c2c1CCC2,,,CHEMBL1122110,J Med Chem,1982.0,"{'bei': '25.55', 'le': '0.48', 'lle': '4.51', 'sei': '16.22'}",,CHEMBL26917,,CHEMBL26917,6.73,0,http://www.openphacts.org/units/Nanomolar,342560,=,1,1,=,,IC50,nM,,186.0,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,186.0
,,146080,[],CHEMBL883288,In vitro binding affinity towards cloned human beta-1 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1cccc(CCCC2CCCC2)n1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '11.96', 'le': '0.23', 'lle': '-0.57', 'sei': '8.86'}",,CHEMBL433252,,CHEMBL433252,5.52,0,http://www.openphacts.org/units/Nanomolar,93353,=,1,1,=,,IC50,nM,,3000.0,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,3000.0
,,146084,[],CHEMBL883288,In vitro binding affinity towards cloned human beta-1 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1cccc(CCCC2CCCC2)c1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '11.72', 'le': '0.22', 'lle': '-1.29', 'sei': '10.92'}",,CHEMBL54750,,CHEMBL54750,5.40,0,http://www.openphacts.org/units/Nanomolar,93350,=,1,1,=,,IC50,nM,,4000.0,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,4000.0
,,147301,[],CHEMBL883288,In vitro binding affinity towards cloned human beta-1 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCN(C)C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '12.03', 'le': '0.24', 'lle': '0.52', 'sei': '7.17'}",,CHEMBL56594,,CHEMBL56594,5.00,0,http://www.openphacts.org/units/Nanomolar,93337,=,1,1,=,,IC50,nM,,10000.0,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,10000.0
,,147305,[],CHEMBL883288,In vitro binding affinity towards cloned human beta-1 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCc1nc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)no1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '13.72', 'le': '0.27', 'lle': '0.77', 'sei': '7.06'}",,CHEMBL52407,,CHEMBL52407,6.24,0,http://www.openphacts.org/units/Nanomolar,93363,=,1,1,=,,IC50,nM,,580.0,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,580.0
